"93098","2810","BIB","511","Wilf","Prophecies for Bayit Sheini: Chaggai; Zechariah; Malachi","2","Grunhaus; Naomi Cohen","0","25","25","0","5","5","R}1305}1445}TBA}","","","","","","","This course explores the period of Shivat Zion - the return to the Land of Israel after Galut Bavel; with the building of Bayit Sheini and Jewish resettlement of the land. Following this last historical period discussed in Tanakh; the Tanakh was officially closed; or 'canonized'. The course examines the prophetic works associated with this period - Chaggai; Zechariah; and Malachi - accompanied by discussion of historical aspects of the period as noted in the Book of Ezra."
"93326","6095","BIBL","ABC","Beren","Peshat and Derash in Medieval Ashkenazic Exegesis","2","Levine; Michelle J.","0","5","5","0","0","0","M||W}0900}1100}SCW}BEIT MDRSH::M||W}1116}1245}SCW}606","","","","","","","This course will study 11th 12th centuries northern French Jewish biblical commentaries; Rashi and Rashbam; with the goal of eliciting their programmatic methodological agendas in analyzing biblical texts and the interpretative criteria which they develop to guide them in their exegesis. As illustrative examples of this exegetical school of thought; the unique relationship between the commentaries of the grandfather and grandson; Rashi and Rashbam; will be the focus of analysis. Emphasis will be placed on their insights into the peshat of the biblical text; especially their literary analysis of the narrative and poetry of the Bible."
"91870","6700","BIBL","MNP","Beren","Independent Study - Bible","3","Price; Nechama Esther","0","5","5","0","0","0","M||W}0900}1100}SCW}BEIT MDRSH::M||W}1116}1245}SCW}606","","","","","","","An independent study is an individualized project/course in an area of Tanach conducted under the guidance and supervision of a faculty advisor with the approval of the Program Director."
"93327","6900","BIBL","JKL","Beren","Top: Villains of Genesis","3","Price; Nechama Esther","0","20","20","0","0","0","T||R}0900}1030}SCW}606::T||R}1045}1245}SCW}BEIT MDRSH","","","","","","","In each of these topic classes the women will learn how to analyze the text of Tanakh and its commentators. The classes will teach full books of Tanakh; or focus on the style of a commentator; focus on specific topics within Tanakh; and teach them skills required to be learners and teachers of Tanakh. This course will also analyze the stories of the four Imahot: Sarah; Rivkah; Rachal and Leah. We will learn in depth their stories and reflect on their greater role within the context of Sefer Bereishit. May be repeated for credit if topic is different."
"91954","1105","BBLE","L","Beren","Introduction to Genesis: Personal Development in the Bible Part I","2","Schechter; Shoshana","0","30","30","0","10","10","T||R}1150}1305}SCW}718","JS1||JS7","Beren JS - Elementary||Beren JS - Fundamentals","","","","","Previously offered as BIBL 1171. Section information text: By assignment only."
"91955","1120","BBLE","K","Beren","Genesis","2","Schechter; Shoshana","0","30","30","0","10","10","T||R}1025}1140}SCW}301","JS5||JS7","Beren JS - Upper-Inter-Adv||Beren JS - Fundamentals","","","","","No course description is available."
"91956","1125","BBLE","K","Beren","Genesis Part I","2","Bloom; Danielle","0","20","20","0","10","10","T||R}1025}1140}TBA}","JS3||JS7","Beren JS - Intermediate||Beren JS - Fundamentals","","","","","Previously offered as BIBL 1201-1210 or BIBL 1209H."
"91960","1205","BBLE","C","Beren","Introduction to Exodus Part I","2","Weissman; Avital Nechama","0","30","30","0","10","10","M||W}1155}1310}TBA}","JS2||JS7","Beren JS - Lower intermediate||Beren JS - Fundamentals","","","","","Previously offered as BIBL 1303. Section information text: By assignment only."
"91959","1205","BBLE","M","Beren","Introduction to Exodus Part I","2","Bloom; Danielle","0","30","30","0","3","3","T||R}1335}1450}SCW}102","JS2||JS7","Beren JS - Lower intermediate||Beren JS - Fundamentals","","","","","Previously offered as BIBL 1303. Section information text: By assignment only."
"91962","1320","BBLE","C","Beren","Leviticus","2","Weiss; Moriah","0","30","30","0","10","10","M||W}1155}1310}SCW}KOCH","JS3||JS7","Beren JS - Intermediate||Beren JS - Fundamentals","","","","","Previously offered as BIBL 1405; 1406; 1407; 1408; 1409 and 1410."
"92464","1405","BBLE","A","Beren","Numbers: Biblical Skills Part I","2","Weissman; Avital Nechama","0","20","20","0","10","10","M||W}0900}1015}SCW}607","JS2||JS7","Beren JS - Lower intermediate||Beren JS - Fundamentals","BBLE1205;;BBLE1210|HEBR1001","","","","Students will develop a general understanding of the first half of the Book of Numbers while developing an in-depth knowledge of chosen topics. Selected textual issues will be analyzed using classical and modern commentators with a focus on developing the skills and vocabulary to analyze the pesukim and commentators in Hebrew. Prerequisite(s): BBLE 1205; BBLE 1210 or HEBR 1001."
"91964","1420","BBLE","L","Beren","Numbers","2","Bloom; Danielle","0","30","30","0","10","10","T||R}1150}1305}TBA}","JS6||JS7","Beren JS - Advanced||Beren JS - Fundamentals","","","","","No course description is available."
"91966","2125","BBLE","C","Beren","Judges","2","Twersky; Sara Enna","0","30","30","0","10","10","M||W}1155}1310}SCW}601","JS3||JS7","Beren JS - Intermediate||Beren JS - Fundamentals","","","","","Previously offered as BIBL 2121; 2122; 2123; 2125; 2126."
"91967","2220","BBLE","K","Beren","Samuel I","2","Rosensweig; Smadar","0","15","15","0","3","3","T||R}1025}1140}SCW}406","JS6||JS7","Beren JS - Advanced||Beren JS - Fundamentals","","","","","Previously offered as BBLE 2148; 2149; 2152-2158; 2160. Section information text: Conducted in Hebrew and cross-listed with HEBR 1240."
